Country,Year,Life_Expectancy
Afghanistan,2000,55
Angola,2000,53
Albania,2000,75
Andorra,2000,81
UAE,2000,69
Argentina,2000,74
Armenia,2000,72
Antigua and Barbuda,2000,75
Australia,2000,80
Austria,2000,78
Azerbaijan,2000,67
Burundi,2000,45
Belgium,2000,78
Benin,2000,57
Burkina Faso,2000,52
Bangladesh,2000,65
Bulgaria,2000,70
Bahrain,2000,72
Bahamas,2000,71
Bosnia and Herzegovina,2000,75
Belarus,2000,69
Belize,2000,70
Bolivia,2000,67
Brazil,2000,71
Barbados,2000,75
Brunei,2000,73
Bhutan,2000,66
Botswana,2000,46
Central African Republic,2000,44
Canada,2000,79
Switzerland,2000,80
Chile,2000,77
China,2000,71
Cote d'Ivoire,2000,51
Cameroon,2000,54
"Congo, Dem. Rep.",2000,54
"Congo, Rep.",2000,53
Colombia,2000,74
Comoros,2000,61
Cape Verde,2000,70
Costa Rica,2000,78
Cuba,2000,77
Cyprus,2000,77
Czech Republic,2000,75
Germany,2000,78
Djibouti,2000,60
Dominica,2000,72
Denmark,2000,77
Dominican Republic,2000,74
Algeria,2000,71
Ecuador,2000,74
Egypt,2000,69
Eritrea,2000,55
Spain,2000,79
Estonia,2000,71
Ethiopia,2000,51
Finland,2000,78
Fiji,2000,66
France,2000,79
"Micronesia, Fed. Sts.",2000,63
Gabon,2000,60
UK,2000,78
Georgia,2000,71
Ghana,2000,60
Guinea,2000,54
Gambia,2000,62
Guinea-Bissau,2000,51
Equatorial Guinea,2000,58
Greece,2000,78
Grenada,2000,72
Guatemala,2000,67
Guyana,2000,64
Honduras,2000,70
Croatia,2000,75
Haiti,2000,57
Hungary,2000,72
Indonesia,2000,67
India,2000,63
Ireland,2000,77
Iran,2000,72
Iraq,2000,69
Iceland,2000,80
Israel,2000,79
Italy,2000,80
Jamaica,2000,75
Jordan,2000,73
Japan,2000,82
Kazakhstan,2000,65
Kenya,2000,55
Kyrgyz Republic,2000,67
Cambodia,2000,60
Kiribati,2000,56
St. Kitts and Nevis,2000,70
South Korea,2000,76
Kuwait,2000,78
Lao,2000,58
Lebanon,2000,75
Liberia,2000,55
Libya,2000,75
St. Lucia,2000,73
Liechtenstein,2000,77
Sri Lanka,2000,71
Lesotho,2000,48
Lithuania,2000,72
Luxembourg,2000,78
Latvia,2000,71
Morocco,2000,70
Monaco,2000,79
Moldova,2000,69
Madagascar,2000,60
Maldives,2000,72
Mexico,2000,74
Marshall Islands,2000,63
North Macedonia,2000,72
Mali,2000,53
Malta,2000,79
Myanmar,2000,59
Montenegro,2000,74
Mongolia,2000,61
Mozambique,2000,52
Mauritania,2000,64
Mauritius,2000,72
Malawi,2000,46
Malaysia,2000,73
Namibia,2000,54
Niger,2000,52
Nigeria,2000,55
Nicaragua,2000,74
Netherlands,2000,78
Norway,2000,79
Nepal,2000,65
Nauru,2000,59
New Zealand,2000,78
Oman,2000,69
Pakistan,2000,61
Panama,2000,78
Peru,2000,75
Philippines,2000,70
Palau,2000,66
Papua New Guinea,2000,63
Poland,2000,74
North Korea,2000,64
Portugal,2000,77
Paraguay,2000,76
Palestine,2000,70
Qatar,2000,71
Romania,2000,71
Russia,2000,66
Rwanda,2000,51
Saudi Arabia,2000,70
Sudan,2000,63
Senegal,2000,61
Singapore,2000,79
Solomon Islands,2000,57
Sierra Leone,2000,52
El Salvador,2000,73
San Marino,2000,82
Somalia,2000,51
Serbia,2000,71
South Sudan,2000,57
Sao Tome and Principe,2000,65
Suriname,2000,70
Slovak Republic,2000,74
Slovenia,2000,76
Sweden,2000,80
Eswatini,2000,48
Seychelles,2000,72
Syria,2000,72
Chad,2000,52
Togo,2000,56
Thailand,2000,72
Tajikistan,2000,67
Turkmenistan,2000,66
Timor-Leste,2000,65
Tonga,2000,71
Trinidad and Tobago,2000,70
Tunisia,2000,74
Turkey,2000,75
Tuvalu,2000,62
Tanzania,2000,53
Uganda,2000,50
Ukraine,2000,68
Uruguay,2000,75
USA,2000,77
Uzbekistan,2000,65
St. Vincent and the Grenadines,2000,71
Venezuela,2000,74
Vietnam,2000,72
Vanuatu,2000,64
Samoa,2000,68
Yemen,2000,64
South Africa,2000,56
Zambia,2000,45
Zimbabwe,2000,48
Afghanistan,2001,55
Angola,2001,53
Albania,2001,76
Andorra,2001,81
UAE,2001,69
Argentina,2001,74
Armenia,2001,73
Antigua and Barbuda,2001,75
Australia,2001,80
Austria,2001,79
Azerbaijan,2001,67
Burundi,2001,46
Belgium,2001,78
Benin,2001,58
Burkina Faso,2001,53
Bangladesh,2001,66
Bulgaria,2001,70
Bahrain,2001,73
Bahamas,2001,71
Bosnia and Herzegovina,2001,75
Belarus,2001,69
Belize,2001,71
Bolivia,2001,67
Brazil,2001,71
Barbados,2001,75
Brunei,2001,73
Bhutan,2001,67
Botswana,2001,45
Central African Republic,2001,44
Canada,2001,80
Switzerland,2001,81
Chile,2001,77
China,2001,72
Cote d'Ivoire,2001,51
Cameroon,2001,54
"Congo, Dem. Rep.",2001,54
"Congo, Rep.",2001,54
Colombia,2001,74
Comoros,2001,62
Cape Verde,2001,71
Costa Rica,2001,78
Cuba,2001,77
Cyprus,2001,77
Czech Republic,2001,75
Germany,2001,79
Djibouti,2001,60
Dominica,2001,72
Denmark,2001,77
Dominican Republic,2001,74
Algeria,2001,71
Ecuador,2001,75
Egypt,2001,68
Eritrea,2001,56
Spain,2001,80
Estonia,2001,71
Ethiopia,2001,53
Finland,2001,78
Fiji,2001,66
France,2001,79
"Micronesia, Fed. Sts.",2001,63
Gabon,2001,60
UK,2001,78
Georgia,2001,71
Ghana,2001,60
Guinea,2001,55
Gambia,2001,62
Guinea-Bissau,2001,52
Equatorial Guinea,2001,59
Greece,2001,79
Grenada,2001,72
Guatemala,2001,67
Guyana,2001,64
Honduras,2001,70
Croatia,2001,75
Haiti,2001,58
Hungary,2001,72
Indonesia,2001,67
India,2001,63
Ireland,2001,77
Iran,2001,72
Iraq,2001,69
Iceland,2001,81
Israel,2001,79
Italy,2001,80
Jamaica,2001,75
Jordan,2001,73
Japan,2001,82
Kazakhstan,2001,65
Kenya,2001,55
Kyrgyz Republic,2001,67
Cambodia,2001,61
Kiribati,2001,57
St. Kitts and Nevis,2001,70
